NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,CountryFull,EmailAddress,TelephoneNumber,MothersMaiden,Birthday,Occupation,Company
American,Mr.,Keith,M,Wilkes,"673 Kembery Drive","Hoffman Estates",IL,60195,US,"United States",KeithMWilkes@fleckens.hu,630-555-8376,Villegas,12/22/1980,"Psychiatric nursing assistant","Handy Andy Home Improvement Center"
American,Mr.,Scott,R,Walker,"3372 Hickman Street",Aurora,IL,60504,US,"United States",ScottRWalker@cuvox.de,630-430-8840,Hairston,3/13/2004,Paraeducator,"Bugle Boy"
American,Ms.,Elaine,J,Hodges,"1782 Barnes Street",Orlando,FL,32801,US,"United States",ElaineJHodges@cuvox.de,407-317-2983,Ramos,3/19/2002,"Material moving occupation","Electronic Geek"
American,Mr.,Jared,B,Tate,"4253 Locust Street",Pavo,GA,31778,US,"United States",JaredBTate@rhyta.com,229-859-2959,Davis,7/28/1997,"Promotions manager","Tech Hifi"
American,Mrs.,Mary,H,Jackson,"3305 Berkley Street",Newark,PA,19714,US,"United States",MaryHJackson@armyspy.com,484-848-4853,Griffin,1/23/1969,"Property custodian","Pantry Pride"
American,Mrs.,Addie,H,Ordway,"2864 Lake Forest Drive","Garden City",NY,11530,US,"United States",AddieHOrdway@einrot.com,914-255-1779,Nehls,9/13/1964,Meteorologist,"McMahan's Furniture"
American,Ms.,Tina,E,Chau,"2809 Sussex Court",Donie,TX,00758,US,"United States",TinaEChau@cuvox.de,254-359-9713,Stallard,9/11/1977,"Sales agent","Holly Tree Inn"
American,Mrs.,Mary,T,Knoll,"1349 Burnside Avenue","Brigham City",UT,83402,US,"United States",MaryTKnoll@armyspy.com,435-729-5212,Priddy,2/8/1970,Usher,"Frank and Seder"
American,Mr.,Richard,H,Hart,"3876 Melrose Street",Palouse,WA,99161,US,"United States",RichardHHart@armyspy.com,509-878-5646,Myers,1/30/1988,"Fitness trainer","Miller & Rhoads"
American,Mrs.,Dawne,F,Cook,"1255 New Street",Portland,OR,97205,US,"United States",DawneFCook@superrito.com,541-304-3067,Mahmood,10/5/1950,"Inhalation therapist","Pleasures and Pasttimes"
American,Mr.,John,M,Evans,"3975 Central Avenue",Lyndhurst,NJ,07071,US,"United States",JohnMEvans@cuvox.de,201-382-6939,Cain,11/24/1958,"Aircraft electronics technician","Fradkin Brothers Furniture"
American,Ms.,Patricia,D,Thompson,"3321 Scenicview Drive",Longview,TX,75601,US,"United States",PatriciaDThompson@armyspy.com,430-977-3819,Hudson,1/8/1942,"Production manager",Laneco
American,Mr.,Clarence,B,Morrison,"1251 Lady Bug Drive","Staten Island",NY,10312,US,"United States",ClarenceBMorrison@teleworm.us,718-948-7642,Quintero,4/30/1953,"Cafeteria cook","Target Realty"
American,Mrs.,Essie,D,Johnson,"4134 Anthony Avenue",Abilene,TX,79602,US,"United States",EssieDJohnson@jourrapide.com,325-669-7027,Glanz,6/19/1992,"Personnel associate","Formula Gray"
American,Ms.,Mary,J,Wagner,"955 Murphy Court",Minneapolis,MN,55401,US,"United States",MaryJWagner@armyspy.com,952-216-2785,Thompson,4/18/1956,"Line installer","Electric Avenue"
American,Mr.,Donald,A,Henson,"3904 Brighton Circle Road","Little Falls",MN,56345,US,"United States",DonaldAHenson@jourrapide.com,320-630-3241,Ortega,12/8/1964,"Laboratory animal technologist",Sportswest
American,Mrs.,Margaret,R,Morris,"1626 Harrison Street","San Francisco",CA,94143,US,"United States",MargaretRMorris@rhyta.com,415-555-7008,Green,4/13/1986,"Water and liquid waste treatment plant and system operator","Magna Architectural Design"
American,Mr.,Elliott,M,Rice,"3338 Essex Court",Hubbardton,VT,05749,US,"United States",ElliottMRice@dayrep.com,802-273-8893,Smith,6/11/2002,"Video control engineer","Tech Hifi"
American,Ms.,Pamela,D,Cornish,"3389 Hannah Street",Charlotte,NC,28273,US,"United States",PamelaDCornish@gustr.com,828-382-1735,Bloom,1/27/1951,"School bus driver","The Flying Hippo "
American,Mr.,Robert,S,Sullivan,"314 Harvest Lane",Browning,MO,64630,US,"United States",RobertSSullivan@armyspy.com,660-946-3592,Donahue,7/4/1976,"Cellular technician","Holly Tree Inn"
American,Mr.,Mauricio,G,Gordon,"1747 Findley Avenue",Linton,ND,58552,US,"United States",MauricioGGordon@armyspy.com,701-851-1440,Switzer,11/24/1973,"Exercise instructor","Source Club"
American,Mrs.,Olga,P,Goins,"1186 Worthington Drive",Plano,TX,75093,US,"United States",OlgaPGoins@armyspy.com,972-634-4088,Elam,2/23/1955,"Leasing manager",Martin's
American,Ms.,Mary,W,Smith,"1640 Joyce Street",Chatom,AL,36518,US,"United States",MaryWSmith@einrot.com,251-777-5902,Flack,10/9/1984,"Agricultural worker","Builders Square"
American,Mr.,Charlie,L,Mathison,"1593 Cambridge Drive",Phoenix,AZ,85034,US,"United States",CharlieLMathison@cuvox.de,623-698-5624,Terhune,4/20/1963,"Web programmer","Exact Realty"
American,Ms.,Michelle,R,Sandin,"4491 Everette Alley",Miami,FL,33131,US,"United States",MichelleRSandin@gustr.com,954-827-8121,Allen,9/27/1940,"Real estate appraiser","Lechters Housewares"
American,Mrs.,Robin,C,Chavarria,"4218 Parrill Court",Hebron,IN,46341,US,"United States",RobinCChavarria@fleckens.hu,219-509-6208,Lane,3/25/1953,Teller,"Roadhouse Grill"
